prior for non faulty data,accuracy,false positive
0.217,0.3776984126984127,0.0
0.218,0.3776984126984127,0.0
0.219,0.3776984126984127,0.0
0.22,0.3776984126984127,0.0
0.221,0.3776984126984127,0.0
0.222,0.3776984126984127,0.0
0.223,0.3776984126984127,0.0
0.224,0.3776984126984127,0.0
0.225,0.3776984126984127,0.0
0.226,0.3776984126984127,0.0
0.227,0.3776984126984127,0.0
0.228,0.3776984126984127,0.0
0.229,0.3776984126984127,0.0
0.23,0.3776984126984127,0.0
0.231,0.3776984126984127,0.0
0.232,0.3776984126984127,0.0
0.233,0.3776984126984127,0.0
0.234,0.3776984126984127,0.0
0.23500000000000001,0.3776984126984127,0.0
0.23600000000000002,0.37476190476190474,0.0
0.23700000000000002,0.37476190476190474,0.0
0.23800000000000002,0.37476190476190474,0.0
0.23900000000000002,0.37476190476190474,0.0
0.24,0.37476190476190474,0.0
0.241,0.37476190476190474,0.0
0.242,0.37476190476190474,0.0
0.243,0.37476190476190474,0.0
0.244,0.37476190476190474,0.0
0.245,0.37476190476190474,0.0
0.246,0.37476190476190474,0.0
0.247,0.37476190476190474,0.0
0.248,0.3723015873015873,0.0
0.249,0.3723015873015873,0.0
0.25,0.3723015873015873,0.0
0.251,0.3723015873015873,0.0
0.252,0.3723015873015873,0.0
0.253,0.3723015873015873,0.0
0.254,0.3723015873015873,0.0
0.255,0.3723015873015873,0.0
0.256,0.3723015873015873,0.0
0.257,0.3723015873015873,0.0
0.258,0.3723015873015873,0.0
0.259,0.3723015873015873,0.0
0.26,0.3723015873015873,0.0
0.261,0.3723015873015873,0.0
0.262,0.3723015873015873,0.0
0.263,0.3723015873015873,0.0
0.264,0.3723015873015873,0.0
0.265,0.3723015873015873,0.0
0.266,0.3723015873015873,0.0
0.267,0.3723015873015873,0.0
0.268,0.3723015873015873,0.0
0.269,0.3723015873015873,0.0
0.27,0.3723015873015873,0.0
0.271,0.3723015873015873,0.0
0.272,0.3723015873015873,0.0
0.273,0.3723015873015873,0.0
0.274,0.3723015873015873,0.0
0.275,0.3723015873015873,0.0
0.276,0.3723015873015873,0.0
0.277,0.3723015873015873,0.0
0.278,0.3723015873015873,0.0
0.279,0.3723015873015873,0.0
0.28,0.3723015873015873,0.0
0.281,0.3723015873015873,0.0
0.28200000000000003,0.3723015873015873,0.0
0.28300000000000003,0.3723015873015873,0.0
0.28400000000000003,0.3723015873015873,0.0
0.28500000000000003,0.3723015873015873,0.0
0.28600000000000003,0.3723015873015873,0.0
0.28700000000000003,0.3723015873015873,0.0
0.28800000000000003,0.3723015873015873,0.0
0.289,0.3723015873015873,0.0
0.29,0.3723015873015873,0.0
0.291,0.3723015873015873,0.0
0.292,0.3723015873015873,0.0
0.293,0.3723015873015873,0.0
0.294,0.3723015873015873,0.0
0.295,0.3723015873015873,0.0
0.296,0.3723015873015873,0.0
0.297,0.3723015873015873,0.0
0.298,0.3723015873015873,0.0
0.299,0.3723015873015873,0.0
0.3,0.3723015873015873,0.0
0.301,0.3723015873015873,0.0
0.302,0.3723015873015873,0.0
0.303,0.3723015873015873,0.0
0.304,0.3723015873015873,0.0
0.305,0.3723015873015873,0.0
0.306,0.3723015873015873,0.0
0.307,0.3723015873015873,0.0
0.308,0.3723015873015873,0.0
0.309,0.3723015873015873,0.0
0.31,0.3723015873015873,0.0
0.311,0.3723015873015873,0.0
0.312,0.3723015873015873,0.0
0.313,0.3723015873015873,0.0
0.314,0.3723015873015873,0.0
0.315,0.3723015873015873,0.0
0.316,0.3723015873015873,0.0
0.317,0.3723015873015873,0.0
0.318,0.3723015873015873,0.0
0.319,0.3723015873015873,0.0
0.32,0.3723015873015873,0.0
0.321,0.3723015873015873,0.0
0.322,0.3723015873015873,0.0
0.323,0.3723015873015873,0.0
0.324,0.3723015873015873,0.0
0.325,0.3723015873015873,0.0
0.326,0.3723015873015873,0.0
0.327,0.3723015873015873,0.0
0.328,0.3723015873015873,0.0
0.329,0.3723015873015873,0.0
0.33,0.3723015873015873,0.0
0.331,0.3723015873015873,0.0
0.332,0.3723015873015873,0.0
0.333,0.3723015873015873,0.0
0.334,0.3723015873015873,0.0
0.335,0.3723015873015873,0.0
0.336,0.3723015873015873,0.0
0.337,0.3723015873015873,0.0
0.338,0.3723015873015873,0.0
0.339,0.3723015873015873,0.0
0.34,0.3723015873015873,0.0
0.341,0.3723015873015873,0.0
0.342,0.3723015873015873,0.0
0.343,0.3723015873015873,0.0
0.34400000000000003,0.3723015873015873,0.0
0.34500000000000003,0.3723015873015873,0.0
0.34600000000000003,0.3723015873015873,0.0
0.34700000000000003,0.3723015873015873,0.0
0.34800000000000003,0.3723015873015873,0.0
0.34900000000000003,0.3723015873015873,0.0
0.35000000000000003,0.3723015873015873,0.0
0.35100000000000003,0.3723015873015873,0.0
0.352,0.3723015873015873,0.0
0.353,0.3723015873015873,0.0
0.354,0.3723015873015873,0.0
0.355,0.3723015873015873,0.0
